Frm,Track,xc,yc,w,h,Velocity(kmph)
35,1,2467,1603,96,130,25.9023171370651
35,9,2436,516,73,62,1.57907165437185
35,2,2110,866,137,70,35.2001698313571
35,19,3334,735,45,30,4.25894876424047
35,5,2492,403,87,48,1.32602846094321
35,21,1960,117,39,103,37.8926914222209
36,12,3466,1911,176,100,0.546361984328947
36,20,3348,704,43,29,4.32975156437331
36,6,2476,454,88,53,1.05385051513622
36,13,1864,1240,48,86,14.5868669325454
36,4,2390,393,86,52,1.34451444200022
36,23,2676,700,52,32,0.0422123186444807
36,8,2526,642,76,64,0.271998551037725
36,10,2691,661,92,55,2.57515718161965
36,15,3635,648,114,45,1.29792219779873
36,14,1722,1469,95,62,25.8244298202197
36,11,2313,624,92,135,2.38334272515215
36,3,2503,996,136,72,37.6001300896021
36,7,2825,650,83,58,1.64237249260772
36,1,2470,1611,97,130,25.7679653246677
36,9,2437,516,74,63,1.85391451635281
36,2,2121,866,136,70,34.6863708945471
36,19,3340,736,48,29,6.80541212252103
36,5,2491,403,87,48,1.60695267708269
36,21,1963,129,37,104,38.9080953736293
37,12,3466,1911,175,98,0.381554130032406
37,20,3347,704,51,29,3.76985964483414
37,6,2476,454,87,53,0.851700695066275
37,13,1867,1236,49,86,14.6948097041143
37,4,2390,393,85,52,1.13421806428998
37,23,2678,700,55,34,4.36554148339306
37,8,2526,642,76,64,0.196640405786544
37,10,2691,661,92,55,2.22643072978104
37,15,3635,647,114,44,1.51022549516352
37,14,1729,1474,94,64,25.7171615767328
37,11,2313,625,91,136,2.48444186288717
37,3,2516,997,136,72,37.7136824952812
37,7,2826,650,83,57,1.91721563156291
37,1,2474,1619,95,131,25.8352678987612
37,9,2438,517,76,65,2.29775118615292
37,2,2133,867,137,70,34.7192976093266
37,19,3340,736,44,29,5.42675819964368
37,5,2491,403,87,48,1.38010671915879
37,21,1965,138,37,101,36.6147377964655
38,12,3466,1910,176,99,0.718304158506153
38,20,3347,704,54,28,2.64786755168747
38,6,2476,454,87,52,0.670451092531025
38,13,1870,1231,48,85,15.1818782964925
38,4,2390,393,85,53,0.942047742652247
38,23,2682,697,64,35,11.9256326009168
38,8,2526,641,77,64,0.610794957516735
38,10,2690,659,91,52,2.97595035855941
38,15,3635,647,115,44,1.22670785826106
38,14,1737,1480,92,65,26.2887670964001
38,11,2313,626,91,135,2.5751223808455
38,3,2529,997,136,73,37.7939323179582
38,7,2826,649,83,59,2.1612755843294
38,1,2476,1627,95,131,25.5596001315566
38,9,2439,518,79,68,2.69499282771407
38,2,2144,867,135,70,34.2520411281517
38,19,3342,737,48,29,5.51533325558529
38,5,2491,403,87,49,1.17053102556641
38,21,1967,148,36,99,35.70550554023
39,12,3466,1910,176,98,0.552008832456122
39,20,3349,705,53,27,3.20714652342807
39,6,2476,454,88,52,0.509242034008432
39,13,1872,1227,49,84,14.963284460187
39,4,2390,393,85,53,0.767742832497883
39,23,2686,696,69,35,13.6050055720219
39,8,2526,641,77,65,0.510729460406329
39,10,2690,659,90,52,2.58115814823486
39,15,3635,648,115,46,1.45253410680559
39,14,1744,1485,91,66,26.1373110847221
39,11,2313,627,91,135,2.65580826239052
39,3,2541,997,135,73,37.3823198791839
39,7,2826,649,83,58,1.89644348601282
39,1,2478,1635,96,131,25.3067910786345
39,9,2439,518,78,68,2.36926319425315
39,2,2156,866,137,70,34.3290177457256
39,19,3344,737,51,27,5.46900555442599
